sample_name	other_name	pathogen_type	condition	sample_type	input_material	library_prep	adapter_type	UDI	adapter_index_P7_R1	adapter_index_P5_R2	unit_name	ref_genome	path_to_R1_R2	notes
H35Pctrl		fungal	healthy	plasma	cfdna	SRSLY	SRSLY_dual_index	UDI01			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
H33Pctrl		fungal	healthy	plasma	cfdna	SRSLY	SRSLY_dual_index	UDI02			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
H32Pctrl		fungal	healthy	plasma	cfdna	SRSLY	SRSLY_dual_index	UDI03			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
H31Pctrl		fungal	healthy	plasma	cfdna	SRSLY	SRSLY_dual_index	UDI04			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A05Pctrl		fungal	patient	ctrl_plasma	cfdna	SRSLY	SRSLY_dual_index	UDI05			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A05Pasp		fungal	patient	plasma	cfdna	SRSLY	SRSLY_dual_index	UDI06			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
H07Bctrl		fungal	healthy	balf	cfdna	SRSLY	SRSLY_dual_index	UDI09			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
H06Bctrl		fungal	healthy	balf	cfdna	SRSLY	SRSLY_dual_index	UDI10			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
H05Bctrl		fungal	healthy	balf	cfdna	SRSLY	SRSLY_dual_index	UDI11			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
H03Bctrl		fungal	healthy	balf	cfdna	SRSLY	SRSLY_dual_index	UDI13			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A05Basp		fungal	patient	balf	cfdna	SRSLY	SRSLY_dual_index	UDI15			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A02PaspK		fungal	patient	plasma	cfdna	KAPA	KAPA_single_index	UDI18			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A02PctrlK		fungal	patient	ctrl_plasma	cfdna	KAPA	KAPA_single_index	UDI19			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A02BaspK		fungal	patient	balf	cfdna	KAPA	KAPA_single_index	UDI20			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A01PctrlK		fungal	patient	ctrl_plasma	cfdna	KAPA	KAPA_single_index	UDI04			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A01BaspK		fungal	patient	balf	cfdna	KAPA	KAPA_single_index	UDI05			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A01PaspK		fungal	patient	plasma	cfdna	KAPA	KAPA_single_index	UDI03			run2	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A01Pasp		fungal	patient	plasma	cfdna	SRSLY	SRSLY_dual_index	UDI02			run1	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A01Pctrl		fungal	patient	ctrl_plasma	cfdna	SRSLY	SRSLY_dual_index	UDI04			run1	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A01Basp		fungal	patient	balf	cfdna	SRSLY	SRSLY_dual_index	UDI06			run1	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A02Pasp		fungal	patient	plasma	cfdna	SRSLY	SRSLY_dual_index	UDI01			run1	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A02Pctrl		fungal	patient	ctrl_plasma	cfdna	SRSLY	SRSLY_dual_index	UDI03			run1	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A02Basp		fungal	patient	balf	cfdna	SRSLY	SRSLY_dual_index	UDI07			run1	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A16Basp		fungal	patient	balf	cfdna	SRSLY	SRSLY_dual_index	UDI08			run1	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A03Pasp		fungal	patient	plasma	cfdna	SRSLY	SRSLY_dual_index	UDI65			run3	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
A03Pctrl		fungal	patient	ctrl_plasma	cfdna	SRSLY	SRSLY_dual_index	UDI66			run3	./resources/mapping/host/chm13v2.0_PLUS_GCF_000001405.40_GRCh38.p14_genomic		
